"ID","Navigation","Business","Catalogues","Travel","Books","PhotoVideo","Lifestyle","Entertainment","Finance","News","Health","Games","Food","Education","Medical","SocialNetworking","Reference","Sports","Utilities","Weather","Productivity","Music","Other"
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,"1","1",NA
"45",NA,NA,NA,"1",NA,NA,NA,NA,NA,"1","1","1",NA,NA,"1",NA,NA,NA,"1","1","1",NA,NA
"46",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,"1","1",NA,NA,NA
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1",NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,"1",NA,"1","1",NA
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","1",NA,NA,"1","1","1",NA,NA,NA,NA,NA,"1","1",NA,NA,"1",NA,NA,"1","1","1",NA,NA
"52",NA,NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"53","1",NA,NA,"1",NA,NA,NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,NA,"1","1",NA,NA,NA
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,NA,NA,NA,"1",NA,"1",NA,"1","1","1",NA,"1","1",NA,"1",NA,NA,NA,"1",NA,NA,NA
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"59","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"60","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"64","1",NA,"1","1","1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,"1",NA,"1","1",NA,NA,NA,NA
"65","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,NA,NA,NA
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,NA,NA,"1",NA,"1",NA,NA,"1","1",NA,NA,"1",NA,"1","1",NA,"1","1","1",NA,NA
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","1",NA,NA,"1",NA,"1",NA,"1",NA,"1",NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"74","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"77",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,"1","1","1","1",NA
"81","1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,"1",NA,"1","1",NA
"82","1","1",NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,"1","1",NA
"83","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","1","1",NA,"1","1","1",NA,NA,NA,"1","1","1",NA,NA,NA,"1",NA,NA,"1","1","1",NA,NA
"85",NA,NA,NA,NA,"1","1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA
"86","1",NA,NA,"1","1","1",NA,"1",NA,NA,NA,"1",NA,NA,NA,"1",NA,"1","1","1","1",NA,NA
"87","1",NA,NA,NA,NA,"1",NA,"1",NA,NA,"1",NA,NA,"1",NA,"1",NA,"1","1",NA,NA,"1",NA
"88",NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","1",NA,NA,"1","1",NA,NA,NA,NA,"1","1","1",NA,"1",NA,"1",NA,NA,"1","1","1",NA,NA
"90","1",NA,NA,NA,NA,"1",NA,"1",NA,"1",NA,"1",NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
