"ID","AppStore","PriceSensitive","WhyDownload","Gender","Age","Nationality","Education","YearsEdu","Occupation","Currency","HH.Income"
"798","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"799","Samsung",NA,NA,"Female","41","Russian","3","20","Healthcare Sup","RUB","Prefer not to say"
"800","Android","Yes",NA,"Female","47","French","2","10","Sales","EUR","3"
"801","Do not use apps",NA,"xxx","Female","60","French","5","15","Prsn Care & Svcs","EUR","3"
"802","Not sure",NA,NA,"Male","69","Japanese","3","13","Off & Admin Sup","JPY","6"
"803","iOS",NA,"paint a leisure","Female","21","Other","2","17","Student","AUD","11"
"804","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"806",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"807","Samsung","Yes",NA,"Male","66","Italian","2","13","Mgmt","EUR","Prefer not to say"
"808","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"809","Nokia",NA,"game","Male","38","Indian","6","4","Healthcare Sup","INR","8"
"810","Android",NA,NA,"Male","20","Indian","2","6","Student","INR","Prefer not to say"
"811","Blackberry","Yes","Tetris","Male","45","Spanish","4","14","Sales","EUR","6"
"812",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"813","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"814","Nokia","Yes",NA,"Female","32","Italian","3","13","Student","EUR","Prefer not to say"
"815","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"816","Nokia","Yes","Paint Pad","Female","18","Australian","2","13","Student","AUD","Prefer not to say"
"817",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"818",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"819",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"820","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"821","iOS",NA,NA,"Male","30","French","2","10","Transport","EUR","3"
"822",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"823","iOS",NA,"Hidden objects","Female","40","Australian","2","12","Sales","AUD","3"
